malicious_votes,harmless_votes,malicious_ratio,shodan_blocked,dns_record_count,total_open_ports,high_risk_country,domain_age_days,has_wildcard_dns,nameserver_count,has_mx,otx_pulse_count,urlhaus_listed,domain_age_known,label,indicator
0,57,0.0,0,7,0,0,0,0,4,0,0,0,0,0,billabong.de
1,53,0.0185185185185185,0,2,0,0,3650,0,4,1,0,0,1,0,connect-tcm.com
0,55,0.0,0,1,0,0,1348,0,2,1,0,0,1,0,ediblecreations.ca
0,56,0.0,0,3,0,0,3650,0,2,1,0,0,1,0,icinga.com
0,56,0.0,0,10,0,0,3650,0,4,1,0,0,1,0,hrs-ds.com
0,55,0.0,0,10,0,0,3650,0,2,1,0,0,1,0,bideew.com
0,57,0.0,0,10,0,0,2277,1,3,1,0,0,1,0,bessarabia.ua
0,57,0.0,0,4,0,0,3650,0,5,1,4,0,1,0,iqsms.ru
0,56,0.0,0,10,0,0,3650,0,2,0,0,0,1,0,lobobot.com
0,57,0.0,0,10,0,0,2681,0,2,1,0,0,1,0,trtnation.com
0,56,0.0,0,10,0,0,3650,1,2,1,0,0,1,0,mysakura.ru
0,56,0.0,0,1,0,0,798,0,2,1,0,0,1,0,gacmotorcolombia.com
0,56,0.0,0,2,0,0,3650,0,2,1,0,0,1,0,askozia.ru
0,53,0.0,0,1,0,0,1896,0,4,1,0,0,1,0,myquantic.com
0,56,0.0,0,0,0,0,486,0,2,1,0,0,1,0,supermaker.ai
0,56,0.0,0,6,0,0,3650,0,4,1,1,0,1,0,caves.org
1,55,0.0178571428571428,0,5,0,0,3650,0,4,1,1,0,1,0,accessgov.com
0,54,0.0,0,0,0,0,784,0,2,1,0,0,1,0,baytsuq.com
0,55,0.0,0,3,0,0,3650,0,3,1,0,0,1,0,z-ns.net
0,56,0.0,0,0,0,0,172,1,2,0,0,0,1,0,goldenpalacestation.com
0,54,0.0,0,4,0,0,3491,0,2,0,0,0,1,0,greycdn.net
0,56,0.0,0,10,0,0,3650,0,2,1,0,0,1,0,fitclick.com
0,55,0.0,0,0,0,0,59,0,2,0,0,0,1,0,playtamil.cfd
0,57,0.0,0,7,0,0,3650,1,2,1,0,0,1,0,myubam.com
0,57,0.0,0,10,0,0,3650,0,2,1,0,0,1,0,potomac.edu
0,56,0.0,0,3,0,0,3650,0,3,1,0,0,1,0,magnuski.org
0,57,0.0,0,4,0,0,0,0,3,1,0,0,0,0,vue.org.py
0,53,0.0,0,5,0,0,3650,0,4,1,0,0,1,0,rhnossa.com.br
0,54,0.0,0,3,0,0,3650,0,0,0,0,0,1,0,hi-edu.ru
0,56,0.0,0,10,0,0,3650,0,2,1,0,0,1,0,ros.net.pl
0,56,0.0,0,6,0,0,2688,0,4,1,0,0,1,0,freyda.io
0,55,0.0,0,4,0,0,3374,0,2,1,0,0,1,0,tiiame.uz
0,57,0.0,0,2,0,0,1919,0,3,0,0,0,1,0,hudhomestore.gov
0,57,0.0,0,10,0,0,3650,0,4,1,0,0,1,0,trusted.ro
0,57,0.0,0,10,0,0,0,0,2,1,0,0,0,0,eco.de
0,56,0.0,0,3,0,0,3292,0,2,0,0,0,1,0,aircraft-instruments.com
0,57,0.0,0,4,0,0,0,0,3,0,0,0,0,0,ville-geneve.ch
0,56,0.0,0,0,0,0,314,0,2,0,0,0,1,0,pushpaclub1.com
0,56,0.0,0,10,0,0,3650,0,2,1,0,0,1,0,voltaicideas.net
